Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
NASDAQ,ACGCU,ACP Holdings Acquisition Corp. - Units,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACGCW,ACP Holdings Acquisition Corp. - Warrants,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACGL,Arch Capital Group Ltd. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACHV,"Achieve Life Sciences, Inc. - Common Shares",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACIC,American Coastal Insurance Corporation - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACIU,AC Immune SA - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACIW,"ACI Worldwide, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACLS,"Axcelis Technologies, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACMR,"ACM Research, Inc. - Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACNB,ACNB Corporation - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACNT,Ascent Industries Co. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACOG,Alpha Cognition Inc. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACON,"Aclarion, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACONW,"Aclarion, Inc. - Warrant",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACT,"Enact Holdings, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACTG,Acacia Research Corporation - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACTU,"Actuate Therapeutics, Inc. - Common stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ACWI,iShares MSCI ACWI ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,ACWX,iShares MSCI ACWI ex U.S. ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADAC,American Drive Acquisition Company - Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADACU,American Drive Acquisition Company - Units,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADACW,American Drive Acquisition Company - Warrant,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADAM,"Adamas Trust, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADBE,Adobe Inc. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADBG,Leverage Shares 2X Long ADBE Daily ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,ADEA,Adeia Inc. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADGM,"Adagio Medical Holdings, Inc - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADI,"Analog Devices, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",Stock,,nasdaq_trader_symbol_directory
