Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
AMEX,COE,"51Talk Online Education Group American depositary shares, each representing 60 Class A ordinary shares",Stock,,nasdaq_trader_symbol_directory
AMEX,COHN,Cohen & Company Inc.,Stock,,nasdaq_trader_symbol_directory
AMEX,CPHI,"China Pharma Holdings, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,CRF,"Cornerstone Total Return Fund, Inc. (The) Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,CTEST,NYSE Test One Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,CTGO,Contango Silver & Gold Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,CTM,"Castellum, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,CVM,Cel-Sci Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,CVR,Chicago Rivet & Machine Co. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,CVU,"CPI Aerostructures, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,DC,Dakota Gold Corp. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,DDC,DDC Enterprise Limited Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,DHY,Credit Suisse High Yield Credit Fund Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,DIT,AMCON Distributing Company Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,DNN,Denison Mines Corp Ordinary Shares (Canada),Stock,,nasdaq_trader_symbol_directory
AMEX,DSS,"DSS, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,DXF,"Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60,000) Ordinary Shares)",Stock,,nasdaq_trader_symbol_directory
AMEX,EAD,Allspring Income Opportunities Fund Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,ECF,Ellsworth Growth and Income Fund Ltd.,Stock,,nasdaq_trader_symbol_directory
