Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
AMEX,OGEN,Oragenics Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,OPHC,"OptimumBank Holdings, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,OPP$C,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. 6.00% Series C Term Preferred Stock (Liquidation Preference $10.00 per share)",Stock,,nasdaq_trader_symbol_directory
AMEX,OPTT,"Ocean Power Technologies, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,ORLA,Orla Mining Ltd. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,OSTX,OS Therapies Incorporated Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,OZ,"Belpointe PREP, LLC Class A Units",Stock,,nasdaq_trader_symbol_directory
AMEX,PAPL,Pineapple Financial Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PCG$A,Pacific Gas & Electric Co. 6% Preferred Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PCG$B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PCG$C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PCG$D,Pacific Gas & Electric Co. 5% 1st Red. Preferred Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PCG$E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PCG$G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PCG$H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PCG$I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PED,Pedevco Corp. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PHGE,BiomX Inc. COmmon Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PHXE$,"Phoenix Energy One, LLC Series A Cumulative Redeemable Preferred Shares",Stock,,nasdaq_trader_symbol_directory
AMEX,PLAG,Planet Green Holdings Corp. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),Stock,,nasdaq_trader_symbol_directory
AMEX,PLX,"Protalix BioTherapeutics, Inc. (DE) Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,PMI,"Picard Medical, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,PMNT,Perfect Moment Ltd. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,POAS,Phaos Technology Holdings (Cayman) Limited Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,PRK,Park National Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PTHS,Pelthos Therapeutics Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PW,Power REIT (MD) Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PW$A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,PZG,Paramount Gold Nevada Corp. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,QNC,Quantum eMotion Corp. Common Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,RCG,"RENN Fund, Inc Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,REA,"Rare Earths Americas, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,REED,"Reed's, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,REI,"Ring Energy, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,REPX,"Riley Exploration Permian, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,RGNT,Regentis Biomaterials Ltd. Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
AMEX,RLGT,"Radiant Logistics, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,ROLR,"High Roller Technologies, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,RVP,"Retractable Technologies, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
