Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
NYSE,AFB,AllianceBernstein National Municipal Income Fund Inc,Stock,,nasdaq_trader_symbol_directory
NYSE,AFG,"American Financial Group, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",Stock,,nasdaq_trader_symbol_directory
NYSE,AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",Stock,,nasdaq_trader_symbol_directory
NYSE,AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",Stock,,nasdaq_trader_symbol_directory
NYSE,AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",Stock,,nasdaq_trader_symbol_directory
NYSE,AFL,AFLAC Incorporated Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AG,First Majestic Silver Corp. Ordinary Shares (Canada),Stock,,nasdaq_trader_symbol_directory
NYSE,AGBK,AGI Inc Class A Common Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AGCO,AGCO Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,Stock,,nasdaq_trader_symbol_directory
NYSE,AGI,Alamos Gold Inc. Class A Common Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AGL,"agilon health, inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AGM,Federal Agricultural Mortgage Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AGM$D,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",Stock,,nasdaq_trader_symbol_directory
NYSE,AGM$E,"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E",Stock,,nasdaq_trader_symbol_directory
NYSE,AGM$F,"Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock, Series F",Stock,,nasdaq_trader_symbol_directory
NYSE,AGM$G,"Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock, Series G",Stock,,nasdaq_trader_symbol_directory
NYSE,AGM$H,"Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock, Series H",Stock,,nasdaq_trader_symbol_directory
NYSE,AGM$I,"Federal Agricultural Mortgage Corporation 6.875% Non-Cumulative Preferred Stock, Series I",Stock,,nasdaq_trader_symbol_directory
NYSE,AGM.A,Federal Agricultural Mortgage Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AGO,Assured Guaranty Ltd. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AGRO,Adecoagro S.A. Common Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AGX,"Argan, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AHL$D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AHL$E,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares",Stock,,nasdaq_trader_symbol_directory
NYSE,AHL$F,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1,000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share",Stock,,nasdaq_trader_symbol_directory
NYSE,AHR,"American Healthcare REIT, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AHRT,"AH Realty Trust, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AHRT$A,"AH Realty Trust, Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AHT,Ashford Hospitality Trust Inc Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AHT$D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AHT$F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AHT$G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AHT$H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AHT$I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AI,"C3.ai, Inc. Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AIG,"American International Group, Inc. New Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AII,"American Integrity Insurance Group, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AIIA,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AIIA.R,"AI Infrastructure Acquisition Corp. Rights, each entitling the holder to receive one-fifth (1/5) of one Class A Ordinary Share",Stock,,nasdaq_trader_symbol_directory
NYSE,AIIA.U,"AI Infrastructure Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one Right",Stock,,nasdaq_trader_symbol_directory
NYSE,AIN,Albany International Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,Stock,,nasdaq_trader_symbol_directory
NYSE,AIR,AAR Corp. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AIT,"Applied Industrial Technologies, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AIV,Apartment Investment and Management Company Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AIZ,"Assurant, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061",Stock,,nasdaq_trader_symbol_directory
NYSE,AJG,Arthur J. Gallagher & Co. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AKA,a.k.a. Brands Holding Corp. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AKAF,The Frontier Economic Fund,ETF,,nasdaq_trader_symbol_directory
NYSE,AKO.A,Embotelladora Andina S.A. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AKO.B,Embotelladora Andina S.A. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AKR,Acadia Realty Trust Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ALB,Albemarle Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ALB$A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ALC,Alcon Inc. Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,ALG,"Alamo Group, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ALH,Alliance Laundry Holdings Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ALIT,"Alight, Inc. Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ALK,"Alaska Air Group, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ALL,Allstate Corporation (The) Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ALL$B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,Stock,,nasdaq_trader_symbol_directory
NYSE,ALL$H,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series H",Stock,,nasdaq_trader_symbol_directory
NYSE,ALL$I,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series I",Stock,,nasdaq_trader_symbol_directory
NYSE,ALL$J,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series J",Stock,,nasdaq_trader_symbol_directory
NYSE,ALLE,Allegion plc Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,ALLY,Ally Financial Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ALSN,"Allison Transmission Holdings, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ALTG,Alta Equipment Group Inc. Class A Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ALTG$A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),Stock,,nasdaq_trader_symbol_directory
NYSE,ALUB,Alussa Energy Acquisition Corp. II Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,ALUB.U,"Alussa Energy Acquisition Corp. II Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant",Stock,,nasdaq_trader_symbol_directory
NYSE,ALUB.W,"Alussa Energy Acquisition Corp. II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",Stock,,nasdaq_trader_symbol_directory
NYSE,ALV,"Autoliv, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ALX,"Alexander's, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AM,Antero Midstream Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AMBQ,"Ambiq Micro, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AMCR,Amcor plc Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AME,"AMETEK, Inc.",Stock,,nasdaq_trader_symbol_directory
NYSE,AMG,"Affiliated Managers Group, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AMH,American Homes 4 Rent Common Shares of Beneficial Interest,Stock,,nasdaq_trader_symbol_directory
NYSE,AMH$G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,Stock,,nasdaq_trader_symbol_directory
NYSE,AMH$H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,Stock,,nasdaq_trader_symbol_directory
NYSE,AMN,AMN Healthcare Services Inc,Stock,,nasdaq_trader_symbol_directory
NYSE,AMP,"Ameriprise Financial, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AMPX,"Amprius Technologies, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AMPX.W,"Amprius Technologies, Inc. Warrants to purchase one share of Common Stock at an exercise price of $11.50 per share",Stock,,nasdaq_trader_symbol_directory
NYSE,AMPY,Amplify Energy Corp. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AMR,"Alpha Metallurgical Resources, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AMRC,"Ameresco, Inc. Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AMRZ,Amrize Ltd Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AMT,American Tower Corporation (REIT) Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AMTB,Amerant Bancorp Inc. Class A Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AMTD,"AMTD IDEA Group American Depositary Shares, each representing six (6) Class A Ordinary Shares",Stock,,nasdaq_trader_symbol_directory
NYSE,AMTM,"Amentum Holdings, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AMWL,American Well Corporation Class A Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AMX,"America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",Stock,,nasdaq_trader_symbol_directory
NYSE,AN,"AutoNation, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ANDG,Andersen Group Inc. Class A Common Stock,Stock,,nasdaq_trader_symbol_directory
